ticker,date,open,close,high,low,volume,sma_10,sma_20,ema_10,ema_20
AMZN,2018-01-31,1172.0,1450.8900146484375,1472.5799560546875,1170.510009765625,96371200,,,1450.8900146484375,1450.8900146484375
AMZN,2018-02-28,1445.0,1512.449951171875,1528.699951171875,1265.9300537109375,137784000,,,1462.0827303799715,1456.7528657459077
AMZN,2018-03-31,1513.5999755859375,1447.3399658203125,1617.5400390625,1365.199951171875,130400100,,,1459.4022277327606,1455.8563990863272
AMZN,2018-04-30,1417.6199951171875,1566.1300048828125,1638.0999755859375,1352.8800048828125,129919600,,,1478.807278123679,1466.3586472574211
AMZN,2018-05-31,1563.219970703125,1629.6199951171875,1635.0,1546.02001953125,71615500,,,1506.2277721224987,1481.9073470535893
AMZN,2018-06-30,1637.030029296875,1699.800048828125,1763.0999755859375,1635.0899658203125,85941300,,,1541.4227315235216,1502.6590329368785
AMZN,2018-07-31,1682.699951171875,1777.43994140625,1880.050048828125,1678.06005859375,97521100,,,1584.3349515021994,1528.8286432672949
AMZN,2018-08-31,1784.0,2012.7099609375,2025.5699462890625,1776.02001953125,96575800,,,1662.221316854072,1574.912578283505
AMZN,2018-09-30,2026.5,2003.0,2050.5,1865.0,94445500,,,1724.181077426059,1615.682808923171
AMZN,2018-10-31,2021.989990234375,1598.010009765625,2033.18994140625,1476.3599853515625,183220800,1669.7389892578126,,1701.2408833059799,1613.9996851938809
AMZN,2018-11-30,1623.530029296875,1690.1700439453125,1784.0,1420.0,139290000,1693.6669921875,,1699.2280034222222,1621.2540050749697
AMZN,2018-12-31,1769.4599609375,1501.969970703125,1778.3399658203125,1307.0,154812700,1692.618994140625,,1663.3629065642044,1609.8936208490798
AMZN,2019-01-31,1465.199951171875,1718.72998046875,1736.4100341796875,1460.9300537109375,134001700,1719.7579956054688,,1673.4296472741216,1620.2589884319054
AMZN,2019-02-28,1638.8800048828125,1639.8299560546875,1673.06005859375,1566.760009765625,80936900,1727.1279907226562,,1667.3206125069516,1622.1228901102656
AMZN,2019-03-31,1655.1300048828125,1780.75,1823.75,1586.5699462890625,100832200,1742.2409912109374,,1687.9441375056876,1637.230233909288
AMZN,2019-04-30,1800.1099853515625,1926.52001953125,1956.3399658203125,1798.72998046875,81293700,1764.91298828125,,1731.3215706012443,1664.7816420637605
AMZN,2019-05-31,1933.0899658203125,1775.0699462890625,1964.4000244140625,1772.699951171875,98214400,1764.6759887695312,,1739.275820726302,1675.2852900852179
AMZN,2019-06-30,1760.010009765625,1893.6300048828125,1935.199951171875,1672.0,74742700,1752.7679931640625,,1767.3402178456674,1696.0800248278458
AMZN,2019-07-31,1922.97998046875,1866.780029296875,2035.800048828125,1849.43994140625,73177400,1739.14599609375,,1785.4201835640688,1712.3371681106105
AMZN,2019-08-31,1871.719970703125,1776.2900390625,1897.9200439453125,1743.510009765625,79771200,1756.9739990234375,1713.356494140625,1783.7601572910562,1718.4279177250762
AMZN,2019-09-30,1770.0,1735.9100341796875,1853.6600341796875,1709.219970703125,61172900,1761.547998046875,1727.6074951171875,1775.0601349071708,1720.092881196944
AMZN,2019-10-31,1746.0,1776.6600341796875,1798.8499755859375,1685.06005859375,70360500,1789.0170043945313,1740.8179992675782,1775.351025683992,1725.4802291000624
AMZN,2019-11-30,1788.010009765625,1800.800048828125,1824.68994140625,1722.7099609375,52076200,1797.2240112304687,1758.4910034179688,1779.978120801107,1732.65354526464
AMZN,2019-12-31,1804.4000244140625,1847.8399658203125,1901.4000244140625,1735.0,68149600,1818.0250122070313,1772.5765014648437,1792.3166380773262,1743.6236805556564
